year,constructorRef,constructorId,name,nationality,url
2018,95,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2018,96,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2018,97,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber
2018,98,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2018,99,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2019,100,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2019,101,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2019,102,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2019,103,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2019,104,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2019,105,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
2019,106,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2019,107,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2019,108,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
2019,109,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2020,110,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2020,111,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
2020,112,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2020,113,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2020,114,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2020,115,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2020,116,racing_point,Racing Point,British,http://en.wikipedia.org/wiki/Racing_Point_F1_Team
2020,117,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2020,118,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One
2020,119,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2021,120,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2021,121,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
2021,122,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
2021,123,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
2021,124,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2021,125,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2021,126,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2021,127,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2021,128,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2021,129,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
2022,130,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One
2022,131,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri
2022,132,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team
2022,133,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One
2022,134,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
2022,135,haas,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team
2022,136,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
2022,137,mercedes,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One
2022,138,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
2022,139,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
